date,id,url,tweet_content,user,replyCount,retweet_count,language,source,like_count
2023-02-01 23:59:28+00:00,1620934892585652224,https://twitter.com/Manithaneyam8/status/1620934892585652224,"@Roar_Imaam @RmSalih If they can allow the polytheist kaafirs like @iamsrk inside the haram, they can allow anyone.",Manithaneyam8,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",4
2023-02-01 23:59:19+00:00,1620934853159190528,https://twitter.com/worldwideved/status/1620934853159190528,@swagmasterrams Yo did they really use mad cgi to make srk look like he has a 6 pack?,worldwideved,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
2023-02-01 23:59:01+00:00,1620934778441830400,https://twitter.com/prileykwest/status/1620934778441830400,johns better than me cause i’ve been tonguing srk down like,prileykwest,1,3,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",28
2023-02-01 23:58:52+00:00,1620934739472547840,https://twitter.com/rossawahyu/status/1620934739472547840,"@cinemuach @WatchmenID Sayangnya tidak semua bintang Bollywood itu penyanyi, beberapa ada yg lypsinc. Makanya sering kita dengar suara pemain terutama yg cewek pas nyanyi kok sama semua. Kalau SRK memang dia singer juga.",rossawahyu,2,0,in,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1
2023-02-01 23:58:36+00:00,1620934672451571715,https://twitter.com/sameeerkele/status/1620934672451571715,@atikafarooqui @iamsrk @deepikapadukone @TheJohnAbraham @yrf one of my fav celebs loving it!!!,sameeerkele,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0
2023-02-01 23:57:12+00:00,1620934321396752386,https://twitter.com/sounaca74/status/1620934321396752386,@SRKCHENNAIFC @iamsrk @yrf @deepikapadukone @TheJohnAbraham @KarunaBadwal @pooja_dadlani @DramaticChori @BilalS158 @RedChilliesEnt Yo yo yo yo yooooy 🥰🚀❤️‍🔥🔥,sounaca74,0,0,ht,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1
2023-02-01 23:56:31+00:00,1620934151758290945,https://twitter.com/OmeshBanjare2/status/1620934151758290945,"How many of you agree?

#Pathaan #Bahubali #KGFChapter2 #SRK #ShahRukhKahn #Bollywood https://t.co/jjz8N8pnC6",OmeshBanjare2,1,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1
2023-02-01 23:56:12+00:00,1620934069558149121,https://twitter.com/Amirasayed744M/status/1620934069558149121,@SRKCHENNAIFC @SalahsUniverse @iamsrk @yrf @deepikapadukone @TheJohnAbraham @KarunaBadwal @pooja_dadlani @DramaticChori @BilalS158 @RedChilliesEnt @SamarMu96883894 @Hanady0Hanady والله منورين ❤🙈,Amirasayed744M,0,0,ar,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
2023-02-01 23:56:08+00:00,1620934053456224256,https://twitter.com/AsgharA33206455/status/1620934053456224256,SRK STYLE COPY,AsgharA33206455,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
2023-02-01 23:55:58+00:00,1620934009852428289,https://twitter.com/SurrealZack/status/1620934009852428289,"@Ram25844034 @Lucifer_srk_07 @ExSecular @csanjay21 Avatar 2 crossed $2.1 billion.. 

Gross kyun dala amount bada dikhane keliye? 

Bachpan se ch*tiye ho ya Andh bhakt bann ne ke baad Ch*tiye bangaye? Ya Andh Bhakt ban ne keliye Ch*tiya ho na zaroori hai?",SurrealZack,0,0,hi,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
